120NF 0603	from hqew, 明智芯科技	SAMSONY	12+	16000	603
A3P250-PQG208	from hqew, 明智芯科技	ACTEL	12+	100	QFP
A3P250-PQG208	from hqew, 明智芯科技	ACTEL	12+	100	QFP
A3P250-PQG208	from hqew, 明智芯科技	ACTEL	12+	100	QFP
ACT4455YH-T	from hqew, 明智芯科技	ACT	12+	8008	SOP-8
ACT4523YH-T	from hqew, 明智芯科技	ACT	12+	4520	SOP-8
ADA05	from hqew, 明智芯科技	ADI	12+	10	SOP16
AMS1117-1.8V	from hqew, 明智芯科技	AMS	12+	35	SOT-223
AMS1117-ADJ	from hqew, 明智芯科技	AMS	12+	1290	SOT-223
AR0130	from hqew, 明智芯科技	ATPINA	12+	50000	CLCC48
BA7654F-E2	from hqew, 明智芯科技	ROHM	12+	50	SOP8
CH341A	from hqew, 明智芯科技	WCH	12+	1	SOP28
D1671	from hqew, 明智芯科技	芯谷	12+	5385	SOT23-6
FP6809-31NS3P	from hqew, 明智芯科技	天钰	12+	655	SOT23-3
FT809	from hqew, 明智芯科技	FT	12+	2700	SOT23
JRC4558	from hqew, 明智芯科技	国产	12+	105	SOP-8
LM324N	from hqew, 明智芯科技	ST	12+	5	DIP14
LN1182FF2818MR	from hqew, 明智芯科技	南麟	12+	1920	SOT23-6
LN5121B025MR	from hqew, 明智芯科技	南麟	12+	2400	SOT23-6
MIC2026-2YM	from hqew, 明智芯科技	MIC	12+	300	SOP-8
MM1671	from hqew, 明智芯科技	美上美	12+	131402	SOT-23-6
MM1671	from hqew, 明智芯科技	国产	12+	1995	SOT23-6
MM1671XNRE	from hqew, 明智芯科技	美之美	12+	12	SOT23-6
MM1827XFBE	from hqew, 明智芯科技	MITSUMI美上	12+	131402	SOP-8
M12L128168A-6T	from hqew, 明智芯科技	ESMT	09+	100	TSOP-54
M12L128168A-6T	from hqew, 明智芯科技	ESMT	09+	100	TSOP-54
M95640-WDW6TP	from hqew, 明智芯科技	ST	12+	995	MSOP-8
PCF8563T	from hqew, 明智芯科技	NXP	12+	1145	SOP-8
PST9127NR	from hqew, 明智芯科技	MITSUMI美上	12+	131402	SOT23-5
SGM2021-1.8YN3G	from hqew, 明智芯科技	SGM圣邦微	13+	90734	SOT-23-3
SGM2021-3.3YN3G	from hqew, 明智芯科技	圣邦微	13+	53785	SOT-23-3
SGM3157YC6/TR	from hqew, 明智芯科技	圣邦微	2012+	127634	SC70-6
SGM44599YTQ16	from hqew, 明智芯科技	SGM圣邦微	2012+	12258	TQFN-16
SGM809-MXN3L/TR	from hqew, 明智芯科技	SGM圣邦微	13+	80888	SOT23
SGM809-TXN3L/TR	from hqew, 明智芯科技	圣邦微	13+	127634	SOT23
SGM809-XXN3/TR	from hqew, 明智芯科技	SGM圣邦微	13+	127634	SOT23-3
SGM89000YTS14G/TR	from hqew, 明智芯科技	SGM代理	12+	3000	TSSOP14
SGM8905YPMS10G/TR	from hqew, 明智芯科技	SGM代理	13+	24065	MSOP-10
SGM9132YPS8G/TR	from hqew, 明智芯科技	SGM	13+	10000	SOP8
SP1073	from hqew, 明智芯科技	SP	12+	540	SOT23-6
STC12LE5A60S2-35I-LQFP44	from hqew, 明智芯科技	STC	12+	815	QFP44
SY7718FGC	from hqew, 明智芯科技	矽利杰	12+	125655	SOP20
SY8082FAC	from hqew, 明智芯科技	矽利杰	12+	125655	SO8
