2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
46V8M16TG-6G	from hqew, 捷辉电子商行	MT	0240+	10	TSSOP
82566DC	from hqew, 捷辉电子商行	INTEL	0630+	1000	BGA
88E8001-LKJ1	from hqew, 捷辉电子商行	MARVELL	0714+	596	QFP
88E8053-NNC1 A2P	from hqew, 捷辉电子商行	MARVELL	0544+	66	QFN
88E8053-NNC1 A3S	from hqew, 捷辉电子商行	MARVELL	0634+	36	QFN
AF82801IBM SLB8Q	from hqew, 捷辉电子商行	INTEL	1021+	73	BGA
ALC655	from hqew, 捷辉电子商行	REALTEK	07+	2382	QFP
APM2054NDC-TRL	from hqew, 捷辉电子商行	ANPEC	10+	86	SOT-89
ASM1042	from hqew, 捷辉电子商行	ASMEDIA	1145+	95	QFN64
ATP867-B	from hqew, 捷辉电子商行	ACARO	0329+	42	BGA
ATSP8	from hqew, 捷辉电子商行	ATTANSIC	0408+	5000	SOP8
CMI9761A	from hqew, 捷辉电子商行	CMI	0414+	192	QFP
CMI9880	from hqew, 捷辉电子商行	CMI	0438+	10	QFP48
CX20555-11Z	from hqew, 捷辉电子商行	CONEXA	0552+	9800	QFN20
CX20705-12Z	from hqew, 捷辉电子商行	CONEXANT	1030+	50	QFN
CX20708-12Z	from hqew, 捷辉电子商行	CONEXANT	1123+	20	QFN
CX25843-24Z	from hqew, 捷辉电子商行	CONEXANT	0617+	22	QFP80
EMC6W201-ZG	from hqew, 捷辉电子商行	SMSC	0609+	95	QFN
F2116TE20V	from hqew, 捷辉电子商行	RENESAS	1039+	2160	TQFP144
H5GQ1H24MJR-T0C	from hqew, 捷辉电子商行	HY	0825+	34	BGA
HY5DU561622CT-6	from hqew, 捷辉电子商行	HY	0413+	151	TSSOP66
HYB18T512161CF-20	from hqew, 捷辉电子商行	QIMONDD	0834+	96	BGA
IT8711F-A-AXS	from hqew, 捷辉电子商行	ITE	0645+	208	QFP
IT8712F-A/IXS	from hqew, 捷辉电子商行	ITE	0523+	47	QFP128
IT8712F-S/KXS/GB	from hqew, 捷辉电子商行	ITE	0745+	187	QFP128
JMB322	from hqew, 捷辉电子商行	JMICRON	0837+	110	QFN
K4N56163QG-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0731+	132	BGA
L6758A	from hqew, 捷辉电子商行	ST	1038+	175	QFN48
LC4032V-75TN-10I	from hqew, 捷辉电子商行	LATTICE	0925+	105	QFP48
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0739+	4	BGA
PS2561A-1-V-A	from hqew, 捷辉电子商行	NEC	0616+	5622	DIP4
RTL8101L	from hqew, 捷辉电子商行	REALTEK	05+	499	QFP
RTL8110S-32	from hqew, 捷辉电子商行	REALTEK	06+	2021	QFP128
RU82566MM	from hqew, 捷辉电子商行	INTEL	0832+	120	BGA
SCH5137-NW	from hqew, 捷辉电子商行	SMSC	0740+	677	QFP128
SST25VF080B-50-4C-S2AF	from hqew, 捷辉电子商行	SST	09+	34	SOP8
SST39SF010-90-4C-NH	from hqew, 捷辉电子商行	SST	05+	240	PLCC
